;ID_Pedido;Data_Pedido;ID_Representante;Nome_Representante;Regional;ID_Produto;Nome_Produto;Valor_Produto;Quantidade_Vendida;Valor_Total_Venda;Nome_Cliente;Cidade_Cliente;Estado_Cliente
;10001;01/01/2020;1004;Isabela Carolina;Sudeste;SKU9005;Celular Modelo 3;R$1.800;21;R$37.800;amazon;Rio de Janeiro;RJ
;10002;01/01/2020;1004;Isabela Carolina;Sudeste;SKU9005;Celular Modelo 3;R$1.800;57;R$102.600;Shoptime;Betim;MINAS
;10003;02/01/2020;1002;Lucas Souza;Sudeste;SKU9011;Notebook Modelo 3;R$4.300;59;R$253.700;Carrefour;Rio de Janeiro;RJ
;10004;02/01/2020;1002;Lucas Souza;Sudeste;SKU9011;Notebook Modelo 3;R$4.300;89;R$382.700;Carrefour;Rio de Janeiro;RJ
;10005;02/01/2020;1005;Tais Fernandes;Sudeste;SKU9008;Mouse;R$88;71;R$6.248;Ricardo Eletro;Vitória;ES
;10006;02/01/2020;1009;Felipe Seixas;Sudeste;SKU9007;Headphone;R$150;82;R$12.300;Shoptime;São Paulo;SP
;10007;02/01/2020;1006;Mário Junior;Sudeste;SKU9005;Celular Modelo 3;R$1.800;52;R$93.600;kabum;Betim;MINAS
;10008;02/01/2020;1004;Isabela Carolina;Sudeste;SKU9011;Notebook Modelo 3;R$4.300;30;R$129.000;Casas Bahia;São Paulo;SP
;10009;02/01/2020;1004;Isabela Carolina;Sudeste;SKU9002;Carregador Portátil;R$80;46;R$3.680;kabum;Rio de Janeiro;RJ
;10010;03/01/2020;1001;Maria Silva;Sudeste;SKU9001;Caixa de Som;R$55;44;R$2.420;Carrefour;São Paulo;SP
;10011;03/01/2020;1001;Maria Silva;Sudeste;SKU9003;Celular Modelo 1;R$800;99;R$79.200;Shoptime;Betim;MINAS
;10012;03/01/2020;1004;Isabela Carolina;Sudeste;SKU9005;Celular Modelo 3;R$1.800;78;R$140.400;amazon;Rio de Janeiro;RJ
;10013;03/01/2020;1009;Felipe Seixas;Sudeste;SKU9002;Carregador Portátil;R$80;53;R$4.240;Casas Bahia;Betim;MINAS
;10014;03/01/2020;1003;Paulo Ferreira;Sudeste;SKU9009;Notebook Modelo 1;R$1.450;40;R$58.000;Ponto Frio;Belo Horizonte;MINAS
;10015;03/01/2020;1008;Teobaldo Junior;Sudeste;SKU9010;Notebook Modelo 2;R$2.220;77;R$170.940;Magazine Luiza;Rio de Janeiro;RJ
;10016;03/01/2020;1001;Maria Silva;Sudeste;SKU9011;Notebook Modelo 3;R$4.300;86;R$369.800;Magazine Luiza;São Paulo;SP
;10017;03/01/2020;1005;Tais Fernandes;Sudeste;SKU9015;Teclado ;R$80;34;R$2.720;Magazine Luiza;Niterói;RJ
;10018;04/01/2020;1004;Isabela Carolina;Sudeste;SKU9002;Carregador Portátil;R$80;7;R$560;Carrefour;Rio de Janeiro;RJ
;10019;04/01/2020;1003;Paulo Ferreira;Sudeste;SKU9006;E-Reader;R$250;77;R$19.250;amazon;Vitória;ES
;10020;04/01/2020;1009;Felipe Seixas;Sudeste;SKU9007;Headphone;R$150;22;R$3.300;amazon;Belo Horizonte;MINAS
;10021;04/01/2020;1001;Maria Silva;Sudeste;SKU9008;Mouse;R$88;11;R$968;kabum;Niterói;RJ
;10022;04/01/2020;1001;Maria Silva;Sudeste;SKU9016;Webcam;R$130;37;R$4.810;Ricardo Eletro;Vitória;ES
;10023;04/01/2020;1002;Lucas Souza;Sudeste;SKU9004;Celular Modelo 2;R$1.200;90;R$108.000;kabum;Rio de Janeiro;RJ
;10024;04/01/2020;1002;Lucas Souza;Sudeste;SKU9009;Notebook Modelo 1;R$1.450;72;R$104.400;kabum;Guarapari;ES
;10025;05/01/2020;1005;Tais Fernandes;Sudeste;SKU9004;Celular Modelo 2;R$1.200;43;R$51.600;amazon;São Paulo;SP
;10026;05/01/2020;1001;Maria Silva;Sudeste;SKU9007;Headphone;R$150;46;R$6.900;Carrefour;Belo Horizonte;MINAS
;10027;05/01/2020;1002;Lucas Souza;Sudeste;SKU9004;Celular Modelo 2;R$1.200;68;R$81.600;Casas Bahia;Guarapari;ES
;10028;05/01/2020;1005;Tais Fernandes;Sudeste;SKU9003;Celular Modelo 1;R$800;92;R$73.600;Ricardo Eletro;Campinas;SP
;10029;05/01/2020;1002;Lucas Souza;Sudeste;SKU9016;Webcam;R$130;57;R$7.410;Magazine Luiza;Guarapari;ES
;10030;05/01/2020;1009;Felipe Seixas;Sudeste;SKU9002;Carregador Portátil;R$80;84;R$6.720;Casas Bahia;Betim;MINAS
;10031;05/01/2020;1007;Alex Souza;Sudeste;SKU9011;Notebook Modelo 3;R$4.300;62;R$266.600;Ponto Frio;Rio de Janeiro;RJ
